Playback Hour,Operating System,Browser,Delivery Type,City,Country,ISP,State,Content Quality Entitled,Entitlement Type,Video Type,Audio Language,Title
05/16/2017 19:00:00,Windows 10,Chrome 58.0.3029.110,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it,Basic Rocket Science-Community - Season 2
05/16/2017 19:00:00,Windows 10,Chrome 58.0.3029.110,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it,Messianic Myths and Ancient Peoples-Community - Season 2
05/16/2017 19:00:00,Windows 10,Chrome 58.0.3029.110,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it,Epidemiology-Community - Season 2
11/01/2017 10:00:00,Windows 10,Chrome 61.0.3163.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,ja-jp,Lesson1-Great Teacher Onizuka - Stagione 1
11/01/2017 10:00:00,Windows 10,Chrome 61.0.3163.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,de-de,The New World-Man In The High Castle - Season 1
11/01/2017 10:00:00,Windows 10,Chrome 61.0.3163.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it-it,The New World-Man In The High Castle - Season 1
11/01/2017 11:00:00,Windows 10,Chrome 61.0.3163.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it-it,Sunrise-Man In The High Castle - Season 1
11/01/2017 12:00:00,Windows 10,Chrome 61.0.3163.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it-it,The Illustrated Woman-Man In The High Castle - Season 1
11/01/2017 13:00:00,Windows 10,Chrome 61.0.3163.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it-it,Revelations-Man In The High Castle - Season 1
11/01/2017 14:00:00,Windows 10,Chrome 61.0.3163.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it-it,The New Normal-Man In The High Castle - Season 1
11/02/2017 10:00:00,Windows 10,Chrome 61.0.3163.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it-it,Three Monkeys-Man In The High Castle - Season 1
11/02/2017 12:00:00,Windows 10,Chrome 61.0.3163.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it-it,Truth-Man In The High Castle - Season 1
11/02/2017 12:00:00,Windows 10,Chrome 61.0.3163.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it-it,The New Normal-Man In The High Castle - Season 1
11/02/2017 12:00:00,Windows 10,Chrome 61.0.3163.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it-it,Three Monkeys-Man In The High Castle - Season 1
11/02/2017 12:00:00,Windows 10,Chrome 61.0.3163.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it-it,Truth-Man In The High Castle - Season 1
11/02/2017 16:00:00,Windows 10,Chrome 61.0.3163.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it-it,End of the World-Man In The High Castle - Season 1
11/02/2017 17:00:00,Windows 10,Chrome 61.0.3163.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it-it,Kindness-Man In The High Castle - Season 1
11/02/2017 18:00:00,Windows 10,Chrome 61.0.3163.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it-it,A Way Out-Man In The High Castle - Season 1
11/02/2017 19:00:00,Windows 10,Chrome 61.0.3163.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it-it,The Tiger's Cave-The Man in the High Castle - Season 2
11/02/2017 21:00:00,Windows 10,Chrome 61.0.3163.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it-it,Official Trailer-The Grand Tour - Season 2
11/02/2017 21:00:00,Windows 10,Chrome 61.0.3163.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it-it,The Illustrated Woman-Man In The High Castle - Season 1
11/02/2017 21:00:00,Windows 10,Chrome 61.0.3163.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it-it,The Road Less Traveled-The Man in the High Castle - Season 2
11/02/2017 21:00:00,Windows 10,Chrome 61.0.3163.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it-it,Travelers-The Man in the High Castle - Season 2
11/08/2017 09:00:00,Windows 10,Chrome 61.0.3163.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it-it,Escalation-The Man in the High Castle - Season 2
11/08/2017 17:00:00,Windows 10,Chrome 61.0.3163.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it-it,Duck and Cover-The Man in the High Castle - Season 2
11/08/2017 18:00:00,Windows 10,Chrome 61.0.3163.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it-it,Kintsugi-The Man in the High Castle - Season 2
11/08/2017 19:00:00,Windows 10,Chrome 61.0.3163.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it-it,Land O' Smiles-The Man in the High Castle - Season 2
11/08/2017 20:00:00,Windows 10,Chrome 61.0.3163.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it-it,Loose Lips-The Man in the High Castle - Season 2
11/08/2017 21:00:00,Windows 10,Chrome 61.0.3163.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it-it,Detonation-The Man in the High Castle - Season 2
11/08/2017 22:00:00,Windows 10,Chrome 61.0.3163.100,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it-it,Fallout-The Man in the High Castle - Season 2
12/20/2017 18:00:00,Linux,Chrome 63.0.3239.108,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,en-gb,Past, present or future-The Grand Tour - Season 2
12/20/2017 20:00:00,Linux,Chrome 63.0.3239.108,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,en-gb,The Falls Guys-The Grand Tour - Season 2
12/20/2017 21:00:00,Linux,Chrome 63.0.3239.108,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,en-gb,The Falls Guys-The Grand Tour - Season 2
01/02/2018 15:00:00,Windows 10,Chrome 63.0.3239.108,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,en-gb,Bah humbug-atti-The Grand Tour - Season 2
01/02/2018 16:00:00,Windows 10,Chrome 63.0.3239.108,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,en-gb,Unscripted-The Grand Tour - Season 2
01/13/2018 10:00:00,Windows 10,Chrome 63.0.3239.132,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,en-gb,Up, down and round the farm-The Grand Tour - Season 2
01/13/2018 11:00:00,Windows 10,Chrome 63.0.3239.132,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,en-gb,Jaaaaaaaags-The Grand Tour - Season 2
01/13/2018 13:00:00,Windows 10,Chrome 63.0.3239.132,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,en-gb,Bah humbug-atti-The Grand Tour - Season 2
01/13/2018 13:00:00,Windows 10,Chrome 63.0.3239.132,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,en-gb,Unscripted-The Grand Tour - Season 2
01/27/2018 18:00:00,Linux,Chrome 64.0.3282.119,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,en-gb,It’s a gas, gas, gas-The Grand Tour - Season 2
01/27/2018 20:00:00,Linux,Chrome 64.0.3282.119,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,en-gb,Blasts from the past-The Grand Tour - Season 2
01/27/2018 20:00:00,Windows 10,Chrome 63.0.3239.132,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,en-gb,Blasts from the past-The Grand Tour - Season 2
01/27/2018 21:00:00,Windows 10,Chrome 63.0.3239.132,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it-it,Real Life-Philip K. Dick's Electric Dreams - Season 1
02/08/2018 20:00:00,Windows 10,Chrome 63.0.3239.132,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,en-gb,Breaking, badly-The Grand Tour - Season 2
02/12/2018 21:00:00,Windows 10,Chrome 63.0.3239.132,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,en-gb,Oh, Canada-The Grand Tour - Season 2
02/14/2018 11:00:00,Windows 10,Chrome 63.0.3239.132,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it-it,Autofac-Philip K. Dick's Electric Dreams - Season 1
