"DeviceType","StartDate","EndDate","EventDuration","StartPosition","EndPosition","Title","Asin","BookLength","DeliveryType","NarrationSpeed","Bookmark","AudioType","AsinOwned","ListeningMode","Store","AppVersion","LocalTimezone"
"Audible for Android","26-JAN-2018","26-JAN-2018","33000","54011932","54053163","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","26-JAN-2018","26-JAN-2018","3621000","54053360","57676319","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","26-JAN-2018","26-JAN-2018","70000","57676323","57747140","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","26-JAN-2018","26-JAN-2018","487000","57751970","58237550","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","26-JAN-2018","26-JAN-2018","84000","58237643","58321509","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","26-JAN-2018","26-JAN-2018","417000","58321513","58738539","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","26-JAN-2018","26-JAN-2018","1487000","58738539","60225359","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","26-JAN-2018","26-JAN-2018","1300000","60225359","61525584","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","26-JAN-2018","26-JAN-2018","60000","61525584","61586049","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","26-JAN-2018","26-JAN-2018","238000","61586053","61829977","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","27-JAN-2018","27-JAN-2018","1239000","61829909","63068179","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","27-JAN-2018","27-JAN-2018","759000","63068179","63826728","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","27-JAN-2018","27-JAN-2018","526000","63826732","64352753","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","27-JAN-2018","27-JAN-2018","4391000","64352757","68744993","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","27-JAN-2018","27-JAN-2018","21000","68744022","68765055","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","27-JAN-2018","27-JAN-2018","1451000","68765059","70215796","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","27-JAN-2018","27-JAN-2018","362000","70215796","70577841","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","27-JAN-2018","27-JAN-2018","1163000","70577841","71740599","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","27-JAN-2018","27-JAN-2018","720000","71740604","72460325","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","27-JAN-2018","27-JAN-2018","206000","72460329","72666472","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","27-JAN-2018","27-JAN-2018","2636000","72666518","75303102","Harry Potter e il Calice di Fuoco (Harry Potter 4)","B078JM28LZ","75303102","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","27-JAN-2018","27-JAN-2018","3401000","0","3400651","Harry Potter e la pietra filosofale (Harry Potter 1)","B075CQVHK1","34513769","Download","1.00","0",,"true",,"Audible","2.20.0","Europe/Rome"
"Audible for Android","28-JAN-2018","28-JAN-2018","3922000","3400562","7322501","Harry Potter e la pietra filosofale (Harry Potter 1)","B075CQVHK1","34513769","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","28-JAN-2018","28-JAN-2018","1480000","7322505","8802541","Harry Potter e la pietra filosofale (Harry Potter 1)","B075CQVHK1","34513769","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","28-JAN-2018","28-JAN-2018","100000","8802591","8902758","Harry Potter e la pietra filosofale (Harry Potter 1)","B075CQVHK1","34513769","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","28-JAN-2018","28-JAN-2018","305000","8902809","9207636","Harry Potter e la pietra filosofale (Harry Potter 1)","B075CQVHK1","34513769","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","28-JAN-2018","28-JAN-2018","216000","9213538","9429712","Harry Potter e la pietra filosofale (Harry Potter 1)","B075CQVHK1","34513769","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","28-JAN-2018","28-JAN-2018","158000","9429716","9587607","Harry Potter e la pietra filosofale (Harry Potter 1)","B075CQVHK1","34513769","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","28-JAN-2018","28-JAN-2018","137000","9586636","9723119","Harry Potter e la pietra filosofale (Harry Potter 1)","B075CQVHK1","34513769","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","28-JAN-2018","28-JAN-2018","344000","9723123","10067425","Harry Potter e la pietra filosofale (Harry Potter 1)","B075CQVHK1","34513769","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","28-JAN-2018","29-JAN-2018","837000","10067382","10904411","Harry Potter e la pietra filosofale (Harry Potter 1)","B075CQVHK1","34513769","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","29-JAN-2018","29-JAN-2018","2086000","10904411","12990260","Harry Potter e la pietra filosofale (Harry Potter 1)","B075CQVHK1","34513769","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","29-JAN-2018","29-JAN-2018","718000","12989381","13707849","Harry Potter e la pietra filosofale (Harry Potter 1)","B075CQVHK1","34513769","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","29-JAN-2018","29-JAN-2018","1174000","13707807","14882082","Harry Potter e la pietra filosofale (Harry Potter 1)","B075CQVHK1","34513769","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","29-JAN-2018","29-JAN-2018","1909000","14882082","16790066","Harry Potter e la pietra filosofale (Harry Potter 1)","B075CQVHK1","34513769","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","29-JAN-2018","29-JAN-2018","7498000","16790066","24288300","Harry Potter e la pietra filosofale (Harry Potter 1)","B075CQVHK1","34513769","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","29-JAN-2018","29-JAN-2018","15000","24288258","24303997","Harry Potter e la pietra filosofale (Harry Potter 1)","B075CQVHK1","34513769","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","29-JAN-2018","29-JAN-2018","9000","24304136","24314074","Harry Potter e la pietra filosofale (Harry Potter 1)","B075CQVHK1","34513769","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","29-JAN-2018","29-JAN-2018","2641000","24314074","26954044","Harry Potter e la pietra filosofale (Harry Potter 1)","B075CQVHK1","34513769","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","29-JAN-2018","29-JAN-2018","1366000","26954183","28320120","Harry Potter e la pietra filosofale (Harry Potter 1)","B075CQVHK1","34513769","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","29-JAN-2018","29-JAN-2018","120000","28319196","28439471","Harry Potter e la pietra filosofale (Harry Potter 1)","B075CQVHK1","34513769","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
